ano,id_municipio,distritos_sp,bairros_sp,total_empregos
2021,3550308,89,,13024
2021,3550308,9,21,37745
2021,3550308,36,,21746
2021,3550308,38,1737,180
2021,3550308,46,11,4402
2021,3550308,1,1460,1147
2021,3550308,48,775,9287
2021,3550308,62,,17651
2021,3550308,17,1739,161
2021,3550308,52,1759,3052
2021,3550308,20,84,1105
2021,3550308,71,1474,8829
2021,3550308,32,248,30701
2021,3550308,69,19,22575
2021,3550308,90,1176,17264
2021,3550308,11,1735,1016
2021,3550308,6,1325,11651
2021,3550308,91,1554,21373
2021,3550308,33,789,16922
2021,3550308,40,257,1022
2021,3550308,9,1051,20552
2021,3550308,59,1771,6460
2021,3550308,23,560,351
2021,3550308,18,1613,152
2021,3550308,32,1574,6400
2021,3550308,93,74,2190
2021,3550308,18,793,297
2021,3550308,73,1684,236
2021,3550308,64,1760,644
2021,3550308,81,1327,2533
2021,3550308,75,553,1156
2021,3550308,74,713,453
2021,3550308,95,1347,4282
2021,3550308,28,1055,918
2021,3550308,60,1309,4941
2021,3550308,75,988,882
2021,3550308,79,1670,4172
2021,3550308,80,99,170685
2021,3550308,68,1866,1158
2021,3550308,1,12,2044
2021,3550308,79,1058,14113
2021,3550308,17,,4294
2021,3550308,22,247,2069
2021,3550308,59,1639,2137
2021,3550308,72,1162,320
2021,3550308,72,1015,85
2021,3550308,18,1163,2174
2021,3550308,65,502,2945
2021,3550308,36,189,407
2021,3550308,85,1528,1963
2021,3550308,40,1564,118
2021,3550308,73,1576,637
2021,3550308,85,710,1514
2021,3550308,19,105,7431
2021,3550308,73,1228,248
2021,3550308,29,18,183
2021,3550308,94,1176,1857
2021,3550308,40,1178,4911
2021,3550308,57,200,926
2021,3550308,78,1285,3096
2021,3550308,37,38,193
2021,3550308,85,868,119
2021,3550308,27,1551,641
2021,3550308,78,1419,225
2021,3550308,15,942,547
2021,3550308,79,1149,2948
2021,3550308,63,1719,2195
2021,3550308,9,,2966
2021,3550308,41,1775,135
2021,3550308,42,1183,755
2021,3550308,13,1574,1524
2021,3550308,96,1846,5347
2021,3550308,16,611,1838
2021,3550308,35,68,5991
2021,3550308,23,968,126
2021,3550308,73,1506,860
2021,3550308,1,1492,417
2021,3550308,95,1130,2775
2021,3550308,78,1755,917
2021,3550308,55,652,505
2021,3550308,92,346,2028
2021,3550308,52,34,1719
2021,3550308,72,688,109
2021,3550308,72,257,833
2021,3550308,64,,11887
2021,3550308,47,7,10650
2021,3550308,59,1802,1212
2021,3550308,76,1815,236
2021,3550308,58,1082,1636
2021,3550308,85,1359,13059
2021,3550308,92,1638,33820
2021,3550308,15,599,584
2021,3550308,35,40,1006
2021,3550308,51,,2483
2021,3550308,20,1325,768
2021,3550308,57,728,1523
2021,3550308,36,1520,811
2021,3550308,53,483,1410
2021,3550308,44,188,1191
2021,3550308,8,1240,1258
2021,3550308,67,1245,2627
2021,3550308,48,1727,781
2021,3550308,70,1318,2447
2021,3550308,67,1747,1173
2021,3550308,66,22,7429
2021,3550308,16,1493,291
2021,3550308,75,783,448
2021,3550308,21,1186,449
2021,3550308,21,60,584
2021,3550308,2,1086,243
2021,3550308,42,667,694
2021,3550308,65,307,1426
2021,3550308,29,1701,450
2021,3550308,71,798,4040
2021,3550308,59,1450,645
2021,3550308,14,273,3075
2021,3550308,37,255,2634
2021,3550308,32,1698,384
2021,3550308,61,169,81
2021,3550308,67,1486,269
2021,3550308,34,909,187
2021,3550308,15,1825,730
2021,3550308,21,1812,1018
2021,3550308,62,292,2430
2021,3550308,14,20,1039
2021,3550308,7,47,642
2021,3550308,29,958,341
2021,3550308,81,615,847
2021,3550308,28,688,2241
2021,3550308,17,1088,3760
2021,3550308,17,208,737
2021,3550308,94,242,1520
2021,3550308,86,1458,183
2021,3550308,27,1699,282
2021,3550308,38,1791,1089
2021,3550308,14,1066,439
2021,3550308,90,1638,8019
2021,3550308,91,95,2104
2021,3550308,73,513,1264
2021,3550308,36,701,1113
2021,3550308,73,,3172
2021,3550308,58,792,2369
2021,3550308,28,249,789
2021,3550308,78,296,644
2021,3550308,49,1377,198
2021,3550308,7,1046,3849
2021,3550308,70,67,430
2021,3550308,84,34,1230
2021,3550308,79,1308,217
2021,3550308,36,1644,4221
2021,3550308,70,,923
2021,3550308,,1316,356
2021,3550308,31,309,396
2021,3550308,17,104,526
2021,3550308,72,1302,1919
2021,3550308,26,1331,813
2021,3550308,5,1817,378
2021,3550308,48,1300,397
2021,3550308,23,946,2231
2021,3550308,46,492,718
2021,3550308,88,1712,969
2021,3550308,87,,4117
2021,3550308,57,251,1050
2021,3550308,31,1111,290
2021,3550308,11,35,876
2021,3550308,5,165,378
2021,3550308,28,1755,274
2021,3550308,18,1140,776
2021,3550308,57,1441,16873
2021,3550308,2,14,6892
2021,3550308,11,1590,281
2021,3550308,15,576,300
2021,3550308,23,465,335
2021,3550308,55,277,1349
2021,3550308,11,817,253
2021,3550308,,1758,14
2021,3550308,63,904,199
2021,3550308,30,669,507
2021,3550308,20,1186,5218
2021,3550308,84,1318,3507
2021,3550308,72,1625,129
2021,3550308,41,913,317
2021,3550308,94,346,1524
2021,3550308,26,1413,6515
2021,3550308,22,1789,229
2021,3550308,49,245,639
2021,3550308,31,244,167
2021,3550308,29,1013,188
2021,3550308,74,590,82
2021,3550308,11,249,871
2021,3550308,13,245,1424
2021,3550308,76,1757,549
2021,3550308,22,1117,1255
2021,3550308,53,34,1332
2021,3550308,43,839,254
2021,3550308,85,1060,979
2021,3550308,61,1090,1171
2021,3550308,14,1126,857
2021,3550308,18,1150,223
2021,3550308,1,1792,1157
2021,3550308,63,1776,188
2021,3550308,85,1510,150
2021,3550308,28,225,1407
2021,3550308,48,84,283
2021,3550308,4,1484,22
2021,3550308,42,1587,250
2021,3550308,37,1706,1182
2021,3550308,24,156,506
2021,3550308,20,245,958
2021,3550308,28,509,782
2021,3550308,96,995,621
2021,3550308,93,1430,385
2021,3550308,23,52,1108
2021,3550308,1,1434,464
2021,3550308,53,1243,2702
2021,3550308,35,575,450
2021,3550308,88,1609,155
2021,3550308,96,635,5065
2021,3550308,27,211,871
2021,3550308,60,,1653
2021,3550308,22,1806,312
2021,3550308,11,1531,267
2021,3550308,87,1330,271
2021,3550308,85,223,537
2021,3550308,67,455,351
2021,3550308,78,406,242
2021,3550308,34,250,8046
2021,3550308,36,8,464
2021,3550308,4,,5714
2021,3550308,67,433,343
2021,3550308,42,884,32
2021,3550308,7,,15521
2021,3550308,79,37,1547
2021,3550308,8,1316,765
2021,3550308,47,1074,402
2021,3550308,18,1015,400
2021,3550308,21,1577,104
2021,3550308,34,248,656
2021,3550308,24,,564
2021,3550308,15,1843,1554
2021,3550308,59,1606,613
2021,3550308,87,1767,3106
2021,3550308,30,1722,874
2021,3550308,41,1177,473
2021,3550308,84,935,92
2021,3550308,53,1759,372
2021,3550308,70,1730,516
2021,3550308,2,1626,4543
2021,3550308,58,1134,299
2021,3550308,51,1148,400
2021,3550308,62,47,318
2021,3550308,95,1876,921
2021,3550308,22,423,223
2021,3550308,85,635,1352
2021,3550308,37,932,504
2021,3550308,78,949,6516
2021,3550308,80,1316,2608
2021,3550308,73,1216,2479
2021,3550308,71,36,515
2021,3550308,79,1272,663
2021,3550308,57,,630
2021,3550308,25,1413,6647
2021,3550308,7,1063,1042
2021,3550308,91,1372,1402
2021,3550308,21,1675,1197
2021,3550308,53,39,5270
2021,3550308,23,490,140
2021,3550308,15,1493,123
2021,3550308,43,201,1682
2021,3550308,73,1649,146
2021,3550308,22,1810,941
2021,3550308,49,1282,67
2021,3550308,77,246,363
2021,3550308,83,610,258
2021,3550308,18,140,706
